Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_A
Pd,R5_S1,R5,S1,Pd_R5_S1,-1.3445142333640794,14.866904415760592,13.522390182396514,0.5794859504566918,-29.4447663346112,-21.608731207318918
Pd,R5_S2,R5,S2,Pd_R5_S2,-1.3445142333640794,-4.532983594283895,-5.877497827647974,0.5794859504566918,-29.4447663346112,-32.850693749572926
Pd,R5_S3,R5,S3,Pd_R5_S3,-1.3445142333640794,-9.072089386446372,-10.416603619810452,0.5794859504566918,-29.4447663346112,-35.48104178376767
Pd,R5_S4,R5,S4,Pd_R5_S4,-1.3445142333640794,-8.232887404129688,-9.577401637493768,0.5794859504566918,-29.4447663346112,-34.994736025419755
Pd,R5_S5,R5,S5,Pd_R5_S5,-1.3445142333640794,0.0401816295133296,-1.30433260385075,0.5794859504566918,-29.4447663346112,-30.200608753265303
Pd,R5_S6,R5,S6,Pd_R5_S6,-1.3445142333640794,-8.841235349302753,-10.185749582666833,0.5794859504566918,-29.4447663346112,-35.34726511263674
Pd,R6_R7,R6,R7,Pd_R6_R7,-0.1765572858634142,0.31307883173711387,0.13652154587369966,0.5794859504566918,-29.4447663346112,-29.36565401684276
Pd,R6_R8,R6,R8,Pd_R6_R8,-0.1765572858634142,10.3478936396416,10.171336353778186,0.5794859504566918,-29.4447663346112,-23.550619820227347
Pd,R6_R9,R6,R9,Pd_R6_R9,-0.1765572858634142,13.723859477181083,13.54730219131767,0.5794859504566918,-29.4447663346112,-21.594295048151455
Pd,R6_S1,R6,S1,Pd_R6_S1,-0.1765572858634142,14.866904415760592,14.690347129897178,0.5794859504566918,-29.4447663346112,-20.931916565503997
Pd,R6_S2,R6,S2,Pd_R6_S2,-0.1765572858634142,-4.532983594283895,-4.709540880147309,0.5794859504566918,-29.4447663346112,-32.173879107758005
Pd,R6_S3,R6,S3,Pd_R6_S3,-0.1765572858634142,-9.072089386446372,-9.248646672309786,0.5794859504566918,-29.4447663346112,-34.80422714195275
